publication_year,count,prop_count,cumCount,cumCount_0,propCumCount_0
1992,2080814,0.013478536685641189,2080814,0,0
1993,2175960,0.014094847827094494,4256774,2175960,0.014094847827094494
1994,2293644,0.014857149556760383,6550418,4469604,0.02895199738385488
1995,2428140,0.0157283515335214,8978558,6897744,0.04468034891737628
1996,2604720,0.016872153914681137,11583278,9502464,0.06155250283205742
1997,2728835,0.017676112644648526,14312113,12231299,0.07922861547670594
1998,2867235,0.01857260290148683,17179348,15098534,0.09780121837819276
1999,3011046,0.01950414307725398,20190394,18109580,0.11730536145544675
2000,3526944,0.02284588823998785,23717338,21636524,0.1401512496954346
2001,3657496,0.023691542835441278,27374834,25294020,0.16384279253087589
2002,4239820,0.02746356445627299,31614654,29533840,0.19130635698714887
2003,4534604,0.02937303688309252,36149258,34068444,0.22067939387024138
2004,4882302,0.031625261372414525,41031560,38950746,0.25230465524265594
2005,5236020,0.033916480596896684,46267580,44186766,0.2862211358395526
2006,5725564,0.037087516914047346,51993144,49912330,0.32330865275359993
2007,6270481,0.04061723354183317,58263625,56182811,0.3639258862954331
2008,6629144,0.04294048415591119,64892769,62811955,0.40686637045134433
2009,7174440,0.04647265576785411,72067209,69986395,0.4533390262191984
2010,7658773,0.04960993767222742,79725982,77645168,0.5029489638914258
2011,8327295,0.05394030948929431,88053277,85972463,0.5568892733807201
2012,8586208,0.05561742641031148,96639485,94558671,0.6125066997910317
2013,9108798,0.05900251920887455,105748283,103667469,0.6715092189999061
2014,9502760,0.06155442018116164,115251043,113170229,0.7330636391810678
2015,9663302,0.06259433592403256,124914345,122833531,0.7956579751051004
2016,9910125,0.06419313949819153,134824470,132743656,0.8598511146032919
2017,9791602,0.06342540312022009,144616072,142535258,0.9232765177235119
2018,9763743,0.06324494559084684,154379815,152299001,0.9865214633143589
