year,urban_mean,agri_mean,anthropo_mean,forest_mean,antropo_change,forest_change,anthropo_mean_0,forest_mean_0,cap_fisherie,count
1992,0.2206311456435731,16.001877333708634,16.222508479351962,32.51783683410513,0,0,0,0,86224318.74,2080814
1993,0.22692005756901526,16.00584999848983,16.232770056058527,32.49975090328864,0.010261576706565023,-0.018085930816489793,0.010261576706565023,-0.018085930816489793,87535550.81,2175960
1994,0.23327846496039573,16.00227296973552,16.23555143469565,32.49883875642726,0.0027813786371240212,-9.121468613813022e-4,0.013042955343689044,-0.018998077677871095,93150993.6,2293644
1995,0.23979725037490246,16.070109300616558,16.309906550991126,32.45688820338209,0.0743551162954752,-0.041950553045168704,0.08739807163916424,-0.0609486307230398,93243009.82,2428140
1996,0.24639786028442157,16.09116748356931,16.33756534385331,32.445693444980634,0.027658792862183645,-0.011194758401458671,0.11505686450134789,-0.07214338912449847,94905793.09,2604720
1997,0.2527275334896674,16.132330991656172,16.38505852514546,32.42154294024546,0.04749318129215041,-0.024150504735175105,0.1625500457934983,-0.09629389385967357,94313672.43,2728835
1998,0.2594453446592639,16.189981229681948,16.44942657434111,32.364670185889715,0.0643680491956502,-0.05687275435574435,0.2269180949891485,-0.15316664821541792,86681240.91,2867235
1999,0.26586122042290883,16.30195810142991,16.567819321852568,32.307241417484605,0.11839274751145723,-0.05742876840511002,0.34531084250060573,-0.21059541662052794,92620737.56,3011046
2000,0.2728104147586015,16.382966364395344,16.655776779153676,32.30683088597708,0.08795745730110838,-4.1053150752645706e-4,0.4332682998017141,-0.2110059481280544,94439444.93,3526944
2001,0.29229254521482384,16.402848056038803,16.695140601253403,32.32353460682774,0.039363822099726775,0.016703720850664183,0.4726321219014409,-0.19430222727739022,91685232.82,3657496
2002,0.3120515504383064,16.41547967471448,16.727531225152454,32.32620351452583,0.03239062389905101,0.002668907698087253,0.5050227458004919,-0.19163331957930296,92053371.59,4239820
2003,0.33179666663311363,16.4172471542584,16.7490438208911,32.342562425143086,0.0215125957386455,0.016358910617256583,0.5265353415391374,-0.17527440896204638,89287907.35,4534604
2004,0.35254184321498516,16.47358845197717,16.8261302951916,32.33087319719133,0.07708647430050064,-0.011689227951755754,0.603621815839638,-0.18696363691380213,93964637.14,4882302
2005,0.3640785434635668,16.47486548777655,16.838944031239844,32.33853566360199,0.012813736048244095,0.007662466410657487,0.6164355518878821,-0.17930117050314465,93592372.36,5236020
2006,0.3745494117291332,16.471387644803126,16.845937056531692,32.35453159753807,0.006993025291848198,0.01599593393608245,0.6234285771797303,-0.1633052365670622,91172211.24,5725564
2007,0.38536826055006973,16.468172284342558,16.853540544891917,32.38150394025516,0.0076034883602247305,0.026972342717087372,0.6310320655399551,-0.13633289384997482,91527753.39,6270481
2008,0.3958032488249101,16.46291971537519,16.858722964199686,32.407588945136645,0.0051824193077685266,0.02608500488148735,0.6362144848477236,-0.11024788896848747,90607908.48,6629144
2009,0.4047277549089067,16.468531537152934,16.873259292061395,32.42773815154984,0.014536327861708997,0.020149206413194065,0.6507508127094326,-0.09009868255529341,90001592.4,7174440
2010,0.4136735977615878,16.487315341338,16.900988939099214,32.390055606435425,0.02772964703781966,-0.03768254511441427,0.6784804597472522,-0.12778122766970768,88085534.24,7658773
2011,0.4221267323543293,16.49331223140327,16.915438963757296,32.357052959468156,0.014450024658081873,-0.033002646967268845,0.6929304844053341,-0.16078387463697652,92559407.78,8327295
2012,0.4327928521824261,16.498972765426224,16.931765617608296,32.329155838925566,0.016326653850999406,-0.027897120542590415,0.7092571382563335,-0.18868099517956693,89684199.27,8586208
2013,0.4478892702220557,16.491772209864976,16.93966148008693,32.32159371571534,0.00789586247863383,-0.007562123210227867,0.7171530007349673,-0.1962431183897948,90873390.03,9108798
2014,0.46221570265394757,16.482559355468442,16.944775058122083,32.331881510479775,0.005113578035153665,0.010287794764437308,0.722266578770121,-0.1859553236253575,91426520.2,9502760
2015,0.47042839601841213,16.47715908976532,16.947587485783327,32.31828415140808,0.002812427661243788,-0.013597359071695791,0.7250790064313648,-0.19955268269705329,92557876.47,9663302
2016,0.47599945651620207,16.444720307168737,16.920719763684247,32.38608626294316,-0.026867722099080282,0.0678021115350802,0.6982112843322845,-0.13175057116197308,90549716.77,9910125
2017,0.48836562364751446,16.43648048994019,16.924846113587517,32.396765768574504,0.00412634990327021,0.010679505631344455,0.7023376342355547,-0.12107106553062863,94223841.98,9791602
2018,0.4962391429059584,16.467561066435728,16.96380020934132,32.329194587302304,0.03895409575380171,-0.06757118127219996,0.7412917299893564,-0.1886422468028286,96989160.0399999,9763743
1960,NA,NA,NA,NA,NA,NA,NA,NA,31674620.01,472745
1961,NA,NA,NA,NA,NA,NA,NA,NA,35315723,463391
1962,NA,NA,NA,NA,NA,NA,NA,NA,38334211,490877
1963,NA,NA,NA,NA,NA,NA,NA,NA,38942197.1,540184
1964,NA,NA,NA,NA,NA,NA,NA,NA,43003257.1,575459
1965,NA,NA,NA,NA,NA,NA,NA,NA,43436152.4,622219
1966,NA,NA,NA,NA,NA,NA,NA,NA,47137579.81,664137
1967,NA,NA,NA,NA,NA,NA,NA,NA,50155444,715698
1968,NA,NA,NA,NA,NA,NA,NA,NA,53130170,760424
1969,NA,NA,NA,NA,NA,NA,NA,NA,51177209,809909
1970,NA,NA,NA,NA,NA,NA,NA,NA,56275378,947761
1971,NA,NA,NA,NA,NA,NA,NA,NA,56374238,875900
1972,NA,NA,NA,NA,NA,NA,NA,NA,51522136,914461
1973,NA,NA,NA,NA,NA,NA,NA,NA,51190490,938828
1974,NA,NA,NA,NA,NA,NA,NA,NA,54059059,970167
1975,NA,NA,NA,NA,NA,NA,NA,NA,52683135,1014496
1976,NA,NA,NA,NA,NA,NA,NA,NA,55983540,1041137
1977,NA,NA,NA,NA,NA,NA,NA,NA,55471400.99,1085837
1978,NA,NA,NA,NA,NA,NA,NA,NA,57782922.01,1132036
1979,NA,NA,NA,NA,NA,NA,NA,NA,58310264.51,1181579
1980,NA,NA,NA,NA,NA,NA,NA,NA,58338390,1294371
1981,NA,NA,NA,NA,NA,NA,NA,NA,60536794.03,1282574
1982,NA,NA,NA,NA,NA,NA,NA,NA,62056483.74,1319714
1983,NA,NA,NA,NA,NA,NA,NA,NA,62072102.37,1367895
1984,NA,NA,NA,NA,NA,NA,NA,NA,67121625.43,1423455
1985,NA,NA,NA,NA,NA,NA,NA,NA,68816748.45,1477747
1986,NA,NA,NA,NA,NA,NA,NA,NA,73710028.92,1556908
1987,NA,NA,NA,NA,NA,NA,NA,NA,74395418.72,1645416
1988,NA,NA,NA,NA,NA,NA,NA,NA,77731733.51,1724877
1989,NA,NA,NA,NA,NA,NA,NA,NA,78467189.16,1835166
1990,NA,NA,NA,NA,NA,NA,NA,NA,75696127.52,1995918
1991,NA,NA,NA,NA,NA,NA,NA,NA,75529922.24,2003144
2019,NA,NA,NA,NA,NA,NA,NA,NA,93028323.46,10001706
2020,NA,NA,NA,NA,NA,NA,NA,NA,90592251.99,10572732
2021,NA,NA,NA,NA,NA,NA,NA,NA,92177119.15,9620901
