Sub_Region,n_visions_sub_region,n_visions_MT_sub_region,n_visions_global,n_visions_MT_global,n_visions_sub_region_g,n_visions_MT_sub_region_g,ratio_global,ratio_transf
Central and Western Europe,172,3,29,0,201,3,0.14427860696517414,0.014925373134328358
North America,116,1,29,0,145,1,0.2,0.006896551724137931
South America,54,2,29,0,83,2,0.3493975903614458,0.024096385542168676
Southern Africa,17,3,29,0,46,3,0.6304347826086957,0.06521739130434782
West Africa,12,0,29,0,41,0,0.7073170731707317,0
Oceania,16,0,29,0,45,0,0.6444444444444445,0
Western Asia,3,0,29,0,32,0,0.90625,0
North-East Asia,18,2,29,0,47,2,0.6170212765957447,0.0425531914893617
Central Asia,1,0,29,0,30,0,0.9666666666666667,0
East Africa and adjacent islands,13,1,29,0,42,1,0.6904761904761905,0.023809523809523808
South-East Asia,18,0,29,0,47,0,0.6170212765957447,0
Caribbean,19,0,29,0,48,0,0.6041666666666666,0
Mesoamerica,23,0,29,0,52,0,0.5576923076923077,0
Eastern Europe,29,0,29,0,58,0,0.5,0
South Asia,4,0,29,0,33,0,0.8787878787878788,0
North Africa,2,0,29,0,31,0,0.9354838709677419,0
Central Africa,4,0,29,0,33,0,0.8787878787878788,0
Antarctica,0,0,29,0,29,0,1,0
